model	ngang	sac	huyen	hoi	nga	nang
vocos_pretrained_en	0.8700722733245729	0.5396678966789668	0.33086825527252806	0.3889193636862315	0.47990255785627284	0.44620542517525147
bigvgan_v2	0.8648160315374507	0.5666512915129152	0.34812380169816487	0.4086670323642348	0.5274056029232643	0.4544346235903688
baseline	0.8753285151116952	0.5502767527675276	0.3388112845795672	0.38014262205156335	0.48112058465286234	0.4437671441633648
plus_c	0.8689224704336399	0.5528136531365314	0.3401807723911257	0.3889193636862315	0.49695493300852617	0.4422432185309357
plus_cb	0.8754927726675427	0.547509225092251	0.33935907970419066	0.3987931980252331	0.48964677222898906	0.4492532764401097
plus_cba	0.8736859395532195	0.5484317343173432	0.3305943577102164	0.3976961053208996	0.47503045066991473	0.4431575739103932
