model	ngang	sac	huyen	hoi	nga	nang
vocos_pretrained_en	2.925479482911825	4.058740386676876	3.030763004683841	4.307370006982157	5.139854461920529	4.741426203539823
bigvgan_v2	1.9816930447507233	2.3914846918589907	2.023482874168354	3.1556108698315466	2.628445532362459	2.627511358802678
baseline	2.758779811381837	4.027612311446091	3.0946871450116005	3.858106089424572	5.821097058727569	4.201610933253397
plus_c	2.6340940059574462	3.803150439061704	2.7919324396751746	3.92843891858679	4.45423604823151	4.446997712169736
plus_cb	2.629352085733765	3.6533888537145773	2.806642850551364	3.641747845201238	3.806195040716612	4.495368445021991
plus_cba	2.4752037071879798	3.99003521669219	3.016486219959267	4.018560081853281	3.9846733116883115	4.716565600559776
