file	model	utmos_ref	utmos	pesq_wb	estoi	mcd_db	seconds
02683402_v043_5a25782ed7.flac	plus_cba	3.2285	2.8958	3.4839	0.9331	2.4644	8.8
02683402_v043_5a25782ed7.flac	vocos_pretrained_en	3.2285	2.7765	3.2612	0.9227	2.5718	8.8
02683402_v043_5a25782ed7.flac	bigvgan_v2	3.2285	3.2141	4.5171	0.9959	2.7176	8.8
01553687_v073_278321b7e9.flac	baseline	2.5861	2.5644	2.3837	0.9204	2.2947	8.32
01553687_v073_278321b7e9.flac	plus_c	2.5861	2.5387	2.2266	0.9211	2.23	8.32
01553687_v073_278321b7e9.flac	plus_cb	2.5861	2.4468	2.2506	0.9186	2.1329	8.32
01553687_v073_278321b7e9.flac	plus_cba	2.5861	2.453	2.4247	0.9149	2.2841	8.32
01553687_v073_278321b7e9.flac	vocos_pretrained_en	2.5861	2.1915	1.9928	0.9	2.4861	8.32
01553687_v073_278321b7e9.flac	bigvgan_v2	2.5861	2.597	4.1492	0.9852	2.4639	8.32
06946811_v032_711407e667.flac	baseline	2.6551	2.8562	2.571	0.9563	2.8795	3.04
06946811_v032_711407e667.flac	plus_c	2.6551	2.8364	3.1015	0.9592	2.6332	3.04
06946811_v032_711407e667.flac	plus_cb	2.6551	2.9171	3.0375	0.9542	2.7482	3.04
06946811_v032_711407e667.flac	plus_cba	2.6551	2.8412	2.754	0.955	2.7071	3.04
06946811_v032_711407e667.flac	vocos_pretrained_en	2.6551	2.5927	1.9482	0.9351	3.1955	3.04
06946811_v032_711407e667.flac	bigvgan_v2	2.6551	2.6869	4.0784	0.9934	3.581	3.04
07577314_v033_73e731d614.flac	baseline	1.4225	1.7339	1.9654	0.9342	3.2639	13.44
07577314_v033_73e731d614.flac	plus_c	1.4225	1.6898	2.0258	0.9291	3.1684	13.44
07577314_v033_73e731d614.flac	plus_cb	1.4225	1.6349	2.0275	0.9273	3.2282	13.44
07577314_v033_73e731d614.flac	plus_cba	1.4225	1.6362	1.9816	0.9242	3.2516	13.44
07577314_v033_73e731d614.flac	vocos_pretrained_en	1.4225	1.5856	1.592	0.9189	3.5208	13.44
07577314_v033_73e731d614.flac	bigvgan_v2	1.4225	1.5488	3.8755	0.986	4.9319	13.44
00958068_v034_70500f5bde.flac	baseline	3.4965	3.1714	3.2001	0.9668	1.6997	6.24
00958068_v034_70500f5bde.flac	plus_c	3.4965	3.0009	3.5173	0.957	1.7461	6.24
00958068_v034_70500f5bde.flac	plus_cb	3.4965	3.0099	3.4474	0.9627	1.7526	6.24
00958068_v034_70500f5bde.flac	plus_cba	3.4965	2.7291	3.5225	0.9662	1.732	6.24
00958068_v034_70500f5bde.flac	vocos_pretrained_en	3.4965	3.1364	3.615	0.9669	1.9859	6.24
00958068_v034_70500f5bde.flac	bigvgan_v2	3.4965	3.6722	4.3028	0.9943	3.1471	6.24
01278864_v007_4c925aa620.flac	baseline	2.8652	2.2564	3.9116	0.9644	2.5647	5.92
01278864_v007_4c925aa620.flac	plus_c	2.8652	2.4644	3.9272	0.9661	2.5795	5.92
01278864_v007_4c925aa620.flac	plus_cb	2.8652	2.3152	3.8244	0.9654	2.6215	5.92
01278864_v007_4c925aa620.flac	plus_cba	2.8652	2.2067	3.7567	0.9658	2.6137	5.92
01278864_v007_4c925aa620.flac	vocos_pretrained_en	2.8652	2.2771	3.7909	0.9591	2.8225	5.92
01278864_v007_4c925aa620.flac	bigvgan_v2	2.8652	2.8395	4.3109	0.9908	3.8819	5.92
01156596_v067_8e227bb198.flac	baseline	2.534	2.2368	3.5677	0.9552	2.1207	5.12
01156596_v067_8e227bb198.flac	plus_c	2.534	2.2215	3.1902	0.9547	2.0375	5.12
01156596_v067_8e227bb198.flac	plus_cb	2.534	2.4294	3.3189	0.9557	1.9642	5.12
01156596_v067_8e227bb198.flac	plus_cba	2.534	2.2101	3.6512	0.9616	1.9865	5.12
01156596_v067_8e227bb198.flac	vocos_pretrained_en	2.534	2.5315	3.4528	0.9585	2.2652	5.12
01156596_v067_8e227bb198.flac	bigvgan_v2	2.534	2.515	4.2859	0.9886	2.7435	5.12
06116297_v065_24dd217106.flac	baseline	2.6962	2.4118	3.8075	0.9826	2.2808	3.68
06116297_v065_24dd217106.flac	plus_c	2.6962	2.325	3.6937	0.9807	2.2184	3.68
06116297_v065_24dd217106.flac	plus_cb	2.6962	2.4716	3.7462	0.9841	2.1785	3.68
06116297_v065_24dd217106.flac	plus_cba	2.6962	2.3725	3.4889	0.9793	2.2732	3.68
06116297_v065_24dd217106.flac	vocos_pretrained_en	2.6962	2.4158	3.5677	0.9818	2.4207	3.68
06116297_v065_24dd217106.flac	bigvgan_v2	2.6962	2.7153	4.4819	0.9971	2.3785	3.68
02882521_v047_842aa65ee6.flac	baseline	2.9156	2.5523	3.1196	0.9236	2.4685	2.72
