model	n	correct	correct_lo	correct_hi	f0_rmse	f0_rmse_lo	f0_rmse_hi	f0_corr	f0_corr_lo	f0_corr_hi	vuv_error	vuv_error_lo	vuv_error_hi
vocos_pretrained_en	20000	0.5706	0.5633975	0.57720125	3.6333045698263593	3.4193450672046684	3.8658669948761735	0.925925450987105	0.9230619371676366	0.9288033144841948	0.06871502944999999	0.06674759991625	0.07077006046874998
bigvgan_v2	20000	0.5831	0.5762987500000001	0.5901	2.2823039985907556	2.1419282606369787	2.434590493527339	0.9638836561157584	0.9621256932045558	0.9656283820639273	0.0346974261	0.033171931695	0.03626767363125
baseline	20000	0.5748	0.56759875	0.58175	3.49751145978902	3.269060400984006	3.729597758724194	0.9347220206994598	0.932094528058004	0.9370985002729597	0.06422563694999998	0.062208675646249996	0.0662155032525
plus_c	20000	0.57485	0.56754875	0.5817	3.3402277657780046	3.1384744967014773	3.566160595420841	0.933306946531956	0.9304479816778295	0.9359257858085481	0.06401828009999999	0.06203830133750001	0.06607367550625
plus_cb	20000	0.5773	0.5701	0.58405	3.2711619063332766	3.064653243554743	3.4866283492402337	0.9348891221938052	0.932176738346121	0.9373648893591929	0.06256979919999998	0.060655342218750005	0.06459799210875
plus_cba	20000	0.57365	0.5665	0.58055	3.4017597516454834	3.1952500994907513	3.6213801512766683	0.9341137458330964	0.9314444266468515	0.9367323321790202	0.06333334510000001	0.06137189643375	0.06533424666
