model	n	utmos	utmos_lo	utmos_hi	pesq_wb	pesq_wb_lo	pesq_wb_hi	estoi	estoi_lo	estoi_hi	mcd_db	mcd_db_lo	mcd_db_hi
ground_truth	499	2.876395390781563											
vocos_pretrained_en	499	2.603191583166333	2.5605433066132264	2.647514258517034	3.2840841365461846	3.2418644327309236	3.327326114457832	0.9529342685370741	0.9485851753507014	0.9561040781563126	2.8063621242484973	2.7665517985971944	2.8471032214428855
bigvgan_v2	499	2.8867873747494985	2.836412745490982	2.9355126503006015	4.337115060240964	4.316041797188754	4.355997038152611	0.9901082164328656	0.9858223897795592	0.9924381012024049	3.077930260521042	2.9989988727454913	3.1660806462925852
baseline	499	2.6918851703406816	2.650092775551102	2.7349288627254507	3.404103815261044	3.3610391817269076	3.4460297640562243	0.9587905811623247	0.9538246943887774	0.9618421492985972	2.5091320641282566	2.4734956813627256	2.5484529408817633
plus_c	499	2.6932130260521046	2.648578582164329	2.7383028507014027	3.4218849397590363	3.381165341365462	3.4641689608433732	0.9591827655310622	0.9541893286573147	0.9623309719438878	2.5016943887775556	2.4622586973947898	2.5409326252505013
plus_cb	499	2.69949498997996	2.654271853707415	2.743527925851703	3.4404777108433735	3.39791734939759	3.480786425702811	0.959630861723447	0.9548474498997995	0.962631508016032	2.5081292585170343	2.4680383166332667	2.5468498697394795
plus_cba	499	2.6400721442885775	2.5955179308617233	2.68409369238477	3.412956425702811	3.373058810240964	3.452001360441767	0.9569677354709418	0.9519493486973948	0.9600447745490982	2.548890781563126	2.508707990981964	2.5859822995991983
