metric	comparison	n	mean_target	mean_ref	delta	p_raw	effect_rank_biserial	p_holm
utmos	plus_c vs baseline	499	2.6932130260521046	2.6918851703406816	0.001327855711422837	0.6243744603158792	0.02529859719438878	0.6243744603158792
utmos	plus_cb vs baseline	499	2.69949498997996	2.6918851703406816	0.007609819639278552	0.24044277262288782	0.06064929859719439	0.48088554524577565
utmos	plus_cba vs baseline	499	2.6400721442885775	2.6918851703406816	-0.05181302605210421	1.7767198473021783e-13	-0.38049699398797593	5.330159541906535e-13
utmos	plus_cb vs vocos_pretrained_en	499	2.69949498997996	2.603191583166333	0.09630340681362727	1.3025816069248775e-28	0.5733146292585171	6.512908034624387e-28
utmos	baseline vs vocos_pretrained_en	499	2.6918851703406816	2.603191583166333	0.08869358717434869	2.2509891431839797e-27	0.56	9.003956572735919e-27
utmos	plus_cb vs bigvgan_v2	499	2.69949498997996	2.8867873747494985	-0.18729238476953908	4.5941174444725025e-60	-0.844561122244489	2.7564704666835014e-59
utmos	baseline vs bigvgan_v2	499	2.6918851703406816	2.8867873747494985	-0.19490220440881764	6.700255375596478e-62	-0.8577715430861723	4.690178762917534e-61
pesq_wb	plus_c vs baseline	498	3.4218849397590363	3.404103815261044	0.01778112449799197	0.21395078866499473	0.06427312456237777	0.42790157732998946
pesq_wb	plus_cb vs baseline	498	3.4404777108433735	3.404103815261044	0.03637389558232931	0.00029246849320029565	0.18731438781176812	0.0008774054796008869
pesq_wb	plus_cba vs baseline	498	3.412956425702811	3.404103815261044	0.00885261044176706	0.26147929426532424	0.05813192407456789	0.42790157732998946
pesq_wb	plus_cb vs vocos_pretrained_en	498	3.4404777108433735	3.2840841365461846	0.15639357429718875	4.551282175566892e-37	0.657869956781032	2.275641087783446e-36
pesq_wb	baseline vs vocos_pretrained_en	498	3.404103815261044	3.2840841365461846	0.12001967871485944	1.2113072016591646e-25	0.5413799486523247	4.845228806636659e-25
pesq_wb	plus_cb vs bigvgan_v2	498	3.4404777108433735	4.337115060240964	-0.8966373493975903	4.0867914827798615e-82	-0.9927083081826303	2.4520748896679167e-81
pesq_wb	baseline vs bigvgan_v2	498	3.404103815261044	4.337115060240964	-0.9330112449799196	3.1383366107926905e-83	-0.9995814923018729	2.1968356275548833e-82
estoi	plus_c vs baseline	499	0.9591827655310622	0.9587905811623247	0.00039218436873747335	0.018907577079428275	0.12238247641215345	0.018907577079428275
estoi	plus_cb vs baseline	499	0.959630861723447	0.9587905811623247	0.0008402805611222427	8.5471992723491e-05	0.2041947590148722	0.000170943985446982
estoi	plus_cba vs baseline	499	0.9569677354709418	0.9587905811623247	-0.0018228456913827696	1.5856866066719433e-14	-0.4004322706679413	4.7570598200158295e-14
estoi	plus_cb vs vocos_pretrained_en	499	0.959630861723447	0.9529342685370741	0.006696593186372747	8.792991952762146e-63	0.8675219941348974	4.396495976381073e-62
estoi	baseline vs vocos_pretrained_en	499	0.9587905811623247	0.9529342685370741	0.005856312625250504	4.880355754567708e-57	0.8231483046414113	1.9521423018270832e-56
estoi	plus_cb vs bigvgan_v2	499	0.959630861723447	0.9901082164328656	-0.03047735470941884	2.681397960779047e-83	-1.0	1.8768678162409234e-82
estoi	baseline vs bigvgan_v2	499	0.9587905811623247	0.9901082164328656	-0.03131763527054108	2.6812397374870334e-83	-1.0	1.8768678162409234e-82
mcd_db	plus_c vs baseline	499	2.5016943887775556	2.5091320641282566	-0.007437675350701409	0.005912534608563962	-0.1423570031629524	0.011825069217127924
mcd_db	plus_cb vs baseline	499	2.5081292585170343	2.5091320641282566	-0.0010028056112224475	0.8374853128869659	-0.010597194388777554	0.8374853128869659
mcd_db	plus_cba vs baseline	499	2.548890781563126	2.5091320641282566	0.039758717434869736	1.6999816799856255e-15	0.41133466933867735	5.0999450399568766e-15
mcd_db	plus_cb vs vocos_pretrained_en	499	2.5081292585170343	2.8063621242484973	-0.2982328657314629	8.701301649976338e-82	-0.9896833667334669	5.220780989985803e-81
mcd_db	baseline vs vocos_pretrained_en	499	2.5091320641282566	2.8063621242484973	-0.29723006012024045	8.103556696335871e-83	-0.9960480961923848	5.67248968743511e-82
mcd_db	plus_cb vs bigvgan_v2	499	2.5081292585170343	3.077930260521042	-0.569801002004008	3.1773498974473623e-49	-0.7619559118236473	1.2709399589789449e-48
mcd_db	baseline vs bigvgan_v2	499	2.5091320641282566	3.077930260521042	-0.5687981963927855	1.9356530626879207e-51	-0.7795430861723447	9.678265313439603e-51
